iter	Passed	Remaining
404	7788	1826
405	7806	1807
406	7827	1788
407	7850	1770
408	7868	1750
409	7884	1730
410	7900	1710
411	7917	1691
412	7934	1671
413	7953	1652
414	7983	1635
415	8000	1615
416	8017	1595
417	8033	1576
418	8050	1556
419	8067	1536
420	8085	1517
421	8101	1497
422	8118	1477
423	8136	1458
424	8153	1438
425	8169	1419
426	8186	1399
427	8206	1380
428	8225	1361
429	8242	1341
430	8258	1322
431	8277	1302
432	8295	1283
433	8312	1264
434	8328	1244
435	8346	1225
436	8363	1205
437	8380	1186
438	8396	1166
439	8412	1147
440	8431	1128
441	8450	1108
442	8467	1089
443	8483	1070
444	8500	1050
445	8515	1031
446	8532	1011
447	8549	992
448	8567	973
449	8584	953
450	8600	934
451	8618	915
452	8641	896
453	8657	877
454	8674	857
455	8692	838
456	8712	819
457	8733	800
458	8752	781
459	8770	762
460	8790	743
461	8810	724
462	8828	705
463	8847	686
464	8867	667
465	8887	648
466	8904	629
467	8923	610
468	8940	590
469	8957	571
470	8973	552
471	8990	533
472	9007	514
473	9028	495
474	9045	476
475	9061	456
476	9079	437
477	9095	418
478	9111	399
479	9127	380
480	9147	361
481	9167	342
482	9183	323
483	9200	304
484	9218	285
485	9234	266
486	9251	246
487	9270	227
488	9287	208
489	9303	189
490	9321	170
491	9338	151
492	9355	132
493	9371	113
494	9388	94
495	9406	75
496	9422	56
497	9438	37
498	9455	18
499	9472	0
