iter	Logloss
127	0.2359433724
128	0.2358839325
129	0.2358124783
130	0.2357557363
131	0.2356394024
132	0.2355368357
133	0.2354714602
134	0.2353827233
135	0.2353103727
136	0.2352304981
137	0.2351332665
138	0.2350472558
139	0.2349514679
140	0.2348582245
141	0.2347788943
142	0.2347080507
143	0.2346063776
144	0.2345064644
145	0.2344328898
146	0.2343560547
147	0.2342598097
148	0.2341919104
149	0.2341233
150	0.2339561132
151	0.2338956944
152	0.2338256958
153	0.233709077
154	0.2336357104
155	0.2335707657
156	0.2334877823
157	0.2334232089
158	0.2333267695
159	0.2332212112
160	0.2331370106
161	0.233044943
162	0.232952876
163	0.2328965996
164	0.2328230579
165	0.2327211313
166	0.2326303787
167	0.2325528179
168	0.2324737625
169	0.2324107878
170	0.2323128705
171	0.2322244829
172	0.2321715888
173	0.232106885
174	0.2320022994
175	0.2319420623
176	0.2318652473
177	0.2317868679
178	0.2317144965
179	0.2316556903
180	0.2315848653
181	0.2315310422
182	0.231456705
183	0.2313914376
184	0.2313264984
185	0.2312555324
186	0.2312023299
187	0.2310694468
188	0.2310241652
189	0.230931706
190	0.2308577775
191	0.2307762109
192	0.2306579796
193	0.230604548
194	0.2305353631
195	0.2304483127
196	0.2303782027
197	0.2303111536
198	0.2302639525
199	0.2301336334
200	0.2300417326
201	0.2299436812
202	0.229891055
203	0.2298330317
204	0.229761462
205	0.2296889582
206	0.2296221673
207	0.2295388147
208	0.2294676619
209	0.2293732681
210	0.2293210625
211	0.2292534169
212	0.2291692502
213	0.2290892925
214	0.2290417106
215	0.2289883682
216	0.2289429773
217	0.2288866644
218	0.228827941
219	0.2287410831
220	0.2286587983
221	0.2285862397
222	0.2285028359
223	0.2284190721
224	0.2283600056
225	0.2282990965
226	0.2282355953
227	0.2281856241
228	0.2281200575
229	0.2280372008
230	0.2279713866
231	0.2278881084
232	0.2278125029
233	0.2277504003
234	0.2276211507
235	0.2274989266
236	0.2274009216
237	0.2273336544
238	0.2272645558
239	0.2271956011
240	0.2271345179
241	0.2270680069
242	0.227001001
243	0.2269229693
244	0.226849651
245	0.2267822989
246	0.226715609
247	0.2266544234
248	0.2265916561
249	0.2265200868
250	0.2264271438
251	0.2263745369
252	0.2262672449
253	0.2261920793
254	0.2260413698
255	0.2259609189
256	0.2259121879
257	0.2258466615
258	0.2257974302
259	0.2257294532
260	0.225600105
261	0.2255370194
262	0.225483864
263	0.2254092076
264	0.2253584477
265	0.2252809658
266	0.2251360683
267	0.2250502229
268	0.2249561819
269	0.2248716651
270	0.2247535173
271	0.2247044879
272	0.2246391577
273	0.2245593522
274	0.2245069556
275	0.224429351
276	0.224345299
277	0.2242965962
278	0.2241704126
279	0.2241214781
280	0.2240609428
281	0.2239724441
282	0.2238837136
283	0.2238148406
284	0.2237158908
285	0.2236377726
286	0.2235442668
287	0.2234448339
288	0.2233943563
289	0.2233276136
290	0.2232611275
291	0.2231949549
292	0.2231389355
293	0.222990085
294	0.2229145715
295	0.2228280908
296	0.2227807722
297	0.2227040929
298	0.2226061834
299	0.2225633519
300	0.2225074106
301	0.2224382763
302	0.2223727924
303	0.2222653631
304	0.2222026864
305	0.2221425403
306	0.2220887587
307	0.2219606014
308	0.2218650545
309	0.2217968181
310	0.2217318667
311	0.2216587185
312	0.2215393111
313	0.22143148
314	0.2213725967
315	0.2213255303
316	0.2212740285
317	0.22119334
318	0.2211165788
319	0.221021863
320	0.2209752488
321	0.2209229406
322	0.2208718049
323	0.22080041
324	0.2207445501
325	0.2206536922
326	0.2206057103
327	0.2205288777
328	0.2204692313
329	0.2204051083
330	0.220358736
331	0.2203107357
332	0.2202377666
333	0.2201419864
334	0.220046631
335	0.2199610632
336	0.2198625787
337	0.2197655383
338	0.2197213662
339	0.21961241
340	0.2195448217
341	0.2194261044
342	0.2193849921
343	0.2193266154
344	0.2192813201
345	0.2191542272
346	0.2190730795
347	0.2190088091
348	0.2189212111
349	0.2188689023
350	0.2187830864
351	0.2187438312
352	0.2186960659
353	0.2186540662
354	0.2185969876
355	0.2185277188
356	0.2184514422
357	0.2183845317
358	0.218268442
359	0.218209187
360	0.218140382
361	0.2180529594
362	0.2179952161
363	0.2178921032
364	0.2177937243
365	0.2177106324
366	0.2176742696
367	0.2176109918
368	0.2175454585
369	0.2174701177
370	0.2174264424
371	0.2173351994
372	0.2172752229
373	0.2172022069
374	0.2171518752
375	0.2171139863
376	0.2170619593
377	0.2170182271
378	0.2169332369
379	0.2168671389
380	0.2168180811
381	0.2167566853
382	0.2167102222
383	0.2166566714
384	0.2165549623
385	0.2164820025
386	0.2163834457
387	0.2162855113
388	0.2162524542
389	0.2161988336
390	0.2161214091
391	0.2160041977
392	0.2159600477
393	0.2159020714
394	0.215863264
395	0.215790053
396	0.2157336088
397	0.2156880737
398	0.2156307056
399	0.2155880987
400	0.2155269793
401	0.2154636033
402	0.2153728783
403	0.2152958083
404	0.2152146455
405	0.2151559755
406	0.2151148986
407	0.2150501539
408	0.2149880336
409	0.2149292736
410	0.2148573245
411	0.2147625334
412	0.2146974409
413	0.2146496149
414	0.2146070657
415	0.2145667207
416	0.2145131416
417	0.2144742896
418	0.21442136
419	0.2142902846
420	0.2142353254
421	0.2141783343
422	0.2141223632
423	0.2140413823
424	0.2140055881
425	0.2139153226
426	0.21383355
427	0.2137354955
428	0.2136687902
429	0.2136265091
430	0.2135701922
431	0.2135206046
432	0.2134875427
433	0.213385884
434	0.2133447425
435	0.2132808749
436	0.2132005697
437	0.2131302377
438	0.2130698242
439	0.2129894053
440	0.2129158188
441	0.2128827909
442	0.2128054496
443	0.2127298148
444	0.2126786433
445	0.212640661
446	0.2125663848
447	0.2125014035
448	0.2124446572
449	0.2124110689
450	0.2123457317
451	0.2122955088
452	0.2122540777
453	0.2122068493
454	0.2121262421
455	0.2120532686
456	0.2119916557
457	0.2119520286
458	0.2119061309
459	0.2118399611
460	0.211782898
461	0.2116819697
462	0.2116345055
463	0.2115505578
464	0.2114802127
465	0.2114315887
466	0.2113890099
467	0.211335067
468	0.2112614376
469	0.2111989547
470	0.2111147789
471	0.211064454
472	0.2109866015
473	0.2109454265
474	0.2108402835
475	0.2107705031
476	0.2107143429
477	0.2106444113
478	0.2105800387
479	0.2105464579
480	0.2104737605
481	0.2104084385
482	0.2103510658
483	0.2103019615
484	0.21026335
485	0.2102254446
486	0.2101731711
487	0.2101455774
488	0.2100981018
489	0.2100274903
490	0.2099993262
491	0.2099481669
492	0.2098773254
493	0.2098310434
494	0.2097466849
495	0.2097065269
496	0.2096444732
497	0.2096097456
498	0.2095137368
499	0.2094615787
