iter	Logloss
0	0.6288534199
1	0.5751866886
2	0.5314765436
3	0.4980236235
4	0.4670864
5	0.4408168018
6	0.4180588664
7	0.3980540553
8	0.3824075075
9	0.3670926394
10	0.3560003894
11	0.345169778
12	0.3354833714
13	0.3271502053
14	0.3187509307
15	0.312000259
16	0.304241029
17	0.2989440999
18	0.2936738368
19	0.2891219758
20	0.2851974443
21	0.2818908194
22	0.2789750173
23	0.2754554493
24	0.2727959245
25	0.2703180035
26	0.2679863224
27	0.2655755795
28	0.2638884228
29	0.2624908987
30	0.261198766
31	0.2602412216
32	0.2591094085
33	0.2578237156
34	0.2567373304
35	0.2559208534
36	0.2549037331
37	0.2541110395
38	0.2533959811
39	0.2527889347
40	0.2518224595
41	0.2512019432
42	0.2506707122
43	0.2502319759
44	0.2496930966
45	0.2491966696
46	0.2488503622
47	0.2482893019
48	0.2479588385
49	0.247546717
50	0.2472228595
51	0.2468472292
52	0.2466142163
53	0.2463767218
54	0.2460394225
55	0.2457408952
56	0.245497774
57	0.2452361986
58	0.2450420575
59	0.2447356558
60	0.2445114984
61	0.2442046857
62	0.2439563488
63	0.2437370981
64	0.2434906534
65	0.243272568
66	0.2431460595
67	0.2429967412
68	0.2427784522
69	0.2425244811
70	0.2423167223
71	0.2421445549
72	0.2420222227
73	0.2418912181
74	0.2417312869
75	0.2415604023
76	0.2413746109
77	0.241210437
78	0.2410927962
79	0.2409892584
80	0.2408345391
81	0.2407043844
82	0.2405826082
83	0.2404162243
84	0.2402960485
85	0.2401468356
86	0.2400134436
87	0.2398924807
88	0.2397341709
89	0.2395774241
90	0.2394439892
91	0.2393642669
92	0.2392707077
93	0.2391877027
94	0.2390972066
95	0.238992533
96	0.2389004949
97	0.2387937415
98	0.2386956684
99	0.2386141278
100	0.2385297256
101	0.2384251354
102	0.238322651
103	0.2382400173
104	0.2381518508
105	0.2380650523
106	0.2379274521
107	0.2378554724
108	0.2377588803
109	0.2376755836
110	0.2375974786
111	0.237480342
112	0.2373650009
113	0.2372771866
114	0.2371524697
115	0.2370311649
116	0.2369417819
117	0.2368668067
118	0.2367829039
119	0.2366895462
120	0.2365931549
121	0.2365063009
122	0.2363937584
123	0.2363035867
124	0.2361914156
125	0.2360935775
126	0.2360105438
